days daily_dust_count daily_dust_std
2021/07/15 6 0.674948557710553
2021/07/16 11 0.316227766016838
2021/07/17 12 0.516397779494322
2021/07/18 5 0.699205898780101
2021/07/19 15 1.28668393770792
2021/07/20 11 1.15470053837925
2021/07/21 30 0.788810637746616
2021/07/22 15 1.98885785202351
2021/07/23 10.5 1.25166555703457
2021/07/24 13 1.49071198499986
2021/07/25 10.5 1.56347191994114
2021/07/26 11 1.13529242439509
2021/07/27 13 0.567646212197547
2021/07/28 24.5 3.8873012632302
2021/07/29 16 1.08012344973464
2021/07/30 9 0.674948557710553
2021/07/31 13 0.699205898780101
2021/08/01 20 1.13529242439509
2021/08/02 13 0.843274042711568
2021/08/03 16 0.632455532033676
2021/08/04 15 0.316227766016838
2021/08/05 17.5 1.15950180872841
2021/08/06 18 0.737864787372622
2021/08/07 13 0.788810637746616
2021/08/08 5.5 1.15950180872841
2021/08/09 13 0.788810637746616
2021/08/10 12.5 0.918936583472681
2021/08/11 9.5 1.70293863659264
2021/08/12 16 0.674948557710553
2021/08/13 18 0.483045891539648
2021/08/14 22.5 1.33749350984926
2021/08/15 20.5 2.67706306736817
2021/08/16 21 1.41813649241218
2021/08/17 22 1.66332999331662
2021/08/18 18 0.994428926011753
2021/08/19 20 2.00277585143997
2021/08/20 20.5 2.45175673979111
2021/08/21 8 0.849836585598797
2021/08/22 23 1.07496769977314
2021/08/23 18.5 1.63639169448448
2021/08/24 16 0.994428926011753
2021/08/25 16 0.994428926011753
2021/08/26 23.5 6.39878460681749
2021/08/27 17 0.948683298050514
2021/08/28 15.5 1.83787316694536
2021/08/29 11 1.66332999331662
2021/08/30 18 0.421637021355784
2021/08/31 21 0.843274042711568
2021/09/01 21 1.17378779077727
2021/09/02 15 0.788810637746616
2021/09/03 17 0.823272602348565
2021/09/04 20 0.567646212197547
2021/09/05 12 1.19721899973786
2021/09/06 12 1.08012344973464
2021/09/07 14 0.823272602348565
2021/09/08 18 1.19721899973786
2021/09/09 16 0.843274042711568
2021/09/10 14 0.875595035770913
2021/09/11 15 0.421637021355784
2021/09/12 NaN NaN
2021/09/13 NaN NaN
2021/09/14 NaN NaN
2021/09/15 NaN NaN
2021/09/16 NaN NaN
2021/09/17 NaN NaN
2021/09/18 NaN NaN
2021/09/19 NaN NaN
2021/09/20 NaN NaN
2021/09/21 17 1.17378779077727
2021/09/22 13 1.68654808542314
2021/09/23 14 1.05934990547138
2021/09/24 16.5 1.83787316694536
2021/09/25 13 2.42441287279576
2021/09/26 12 1.58113883008419
2021/09/27 15.5 1.61932770686548
2021/09/28 17.5 1.61932770686548
2021/09/29 13 0.316227766016838
2021/09/30 12 1.19721899973786
2021/10/01 11 1.07496769977314
2021/10/02 14.5 0.699205898780101
2021/10/03 14 0.737864787372622
2021/10/04 9 0.632455532033676
2021/10/05 10 0.948683298050514
2021/10/06 14.5 1.85292561462497
2021/10/07 8 0.674948557710553
2021/10/08 13 1.25166555703457
2021/10/09 19 0.843274042711568
2021/10/10 11 0.737864787372622
2021/10/11 8 0.666666666666667
2021/10/12 4 0.516397779494322
2021/10/13 15 0.788810637746616
2021/10/14 14 0.483045891539648
2021/10/15 17 1.44913767461894
2021/10/16 12.5 1.26491106406735
2021/10/17 9 0.843274042711568
2021/10/18 14 1.54919333848297
2021/10/19 NaN NaN
2021/10/20 NaN NaN
2021/10/21 7 0
2021/10/22 13 0
2021/10/23 0 NaN
2021/10/24 NaN NaN
2021/10/25 NaN NaN
2021/10/26 NaN NaN
2021/10/27 NaN NaN
2021/10/28 NaN NaN
2021/10/29 NaN NaN
2021/10/30 NaN NaN
2021/10/31 NaN NaN
2021/11/01 10.5 2.11081869319834
2021/11/02 8 0.666666666666667
2021/11/03 11 1.84089350286454
2021/11/04 6 1.523883926755
2021/11/05 6 0.483045891539648
2021/11/06 12 0.632455532033676
2021/11/07 7 0.516397779494322
2021/11/08 6 0.699205898780101
2021/11/09 6 0
2021/11/10 9 1.05409255338946
2021/11/11 4 0
2021/11/12 NaN NaN
2021/11/13 NaN NaN
2021/11/14 NaN NaN
2021/11/15 2 0
2021/11/16 6 0.471404520791032
2021/11/17 6.5 1.69967317119759
2021/11/18 6.5 1.05934990547138
2021/11/19 5 0.567646212197547
2021/11/20 10 0.875595035770913
2021/11/21 4 0.632455532033676
2021/11/22 3.5 0.52704627669473
2021/11/23 10 0.316227766016838
2021/11/24 4 1.31656117720877
2021/11/25 4 0.421637021355784
2021/11/26 5 0.875595035770913
2021/11/27 1 0
2021/11/28 NaN NaN
2021/11/29 NaN NaN
2021/11/30 NaN NaN
2021/12/01 NaN NaN
2021/12/02 NaN NaN
2021/12/03 4 0.823272602348565
2021/12/04 7.5 0.699205898780101
2021/12/05 2.5 0.699205898780101
2021/12/06 2 0.421637021355784
2021/12/07 2.5 0.699205898780101
2021/12/08 3 0.567646212197547
2021/12/09 6 0.421637021355784
2021/12/10 6 0
2021/12/11 10 0.632455532033676
2021/12/12 9 1.13529242439509
2021/12/13 4 0.516397779494322
2021/12/14 3 0
2021/12/15 3.5 0.52704627669473
2021/12/16 3 0.843274042711568
